model_label,arm,prompt_strategy,response_selection,self_consistency_k,examples,correct,accuracy,errors,generation_max_tokens,generation_samples,generation_cap_bindings,generation_cap_binding_rate,examples_with_any_cap_binding,example_cap_binding_rate,accuracy_with_cap_binding,accuracy_without_cap_binding,selection_max_tokens,selection_samples,selection_cap_bindings,selection_cap_binding_rate,mean_total_completion_tokens,p95_total_completion_tokens,final_answer_marker_rate
E4B,concise_cot_self_rank_k3,concise_cot,self_rank,3,2990,1166,0.38996655518394646,0,256,8970,6033,0.6725752508361204,2226,0.7444816053511706,0.288858939802336,0.6845549738219895,64,2990,156,0.05217391304347826,673.1772575250836,832.0,0.007692307692307693
E4B,condition_reconstruction,condition_reconstruction,majority_vote,1,2990,903,0.3020066889632107,0,128,2990,244,0.08160535117056857,244,0.08160535117056857,0.0,0.3288419519300801,64,0,0,0.0,15.163210702341138,128.0,0.00033444816053511704
E4B,constraint_guard,constraint_guard,majority_vote,1,2990,954,0.31906354515050167,0,128,2990,182,0.06086956521739131,182,0.06086956521739131,0.0,0.33974358974358976,64,0,0,0.0,12.61371237458194,128.0,0.004013377926421404
E4B,counterexample_guard,counterexample_guard,majority_vote,1,2990,936,0.3130434782608696,0,128,2990,166,0.05551839464882943,166,0.05551839464882943,0.0,0.3314447592067989,64,0,0,0.0,12.129096989966555,128.0,0.0016722408026755853
E4B,direct_answer,direct_answer,majority_vote,1,2990,952,0.3183946488294314,0,64,2990,93,0.031103678929765885,93,0.031103678929765885,0.0,0.32861580945806007,64,0,0,0.0,6.7956521739130435,23.0,0.02608695652173913
E4B,direct_key_condition_refine,direct_answer,key_condition_refine,1,2990,386,0.1290969899665552,0,64,2990,92,0.03076923076923077,1894,0.6334448160535117,0.004751847940865892,0.34397810218978103,64,2990,1894,0.6334448160535117,49.01772575250836,76.0,0.00033444816053511704
E4B,draft_verify,draft_verify,majority_vote,1,2990,816,0.2729096989966555,0,128,2990,380,0.12709030100334448,380,0.12709030100334448,0.0,0.31264367816091954,64,0,0,0.0,23.806688963210703,128.0,0.0006688963210702341
E4B,fast_slow_gate,fast_slow_gate,majority_vote,1,2990,572,0.19130434782608696,0,128,2990,1429,0.4779264214046823,1429,0.4779264214046823,0.0,0.3664317745035234,64,0,0,0.0,65.36086956521739,128.0,0.005016722408026756
E4B,least_to_most,least_to_most,majority_vote,1,2990,107,0.03578595317725752,0,256,2990,2871,0.960200668896321,2871,0.960200668896321,0.0010449320794148381,0.8739495798319328,64,0,0,0.0,253.73779264214048,256.0,0.044816053511705686
E4B,native_format,native_format,majority_vote,1,2990,911,0.3046822742474916,0,96,2990,577,0.19297658862876255,577,0.19297658862876255,0.0,0.37753833402403647,64,0,0,0.0,23.71772575250836,96.0,0.13177257525083613
E4B,negation_label_guard,negation_label_guard,majority_vote,1,2990,583,0.19498327759197323,0,128,2990,1599,0.5347826086956522,1599,0.5347826086956522,0.0,0.41912293314162474,64,0,0,0.0,71.39297658862876,128.0,0.0033444816053511705
E4B,option_elimination,option_elimination,majority_vote,1,2990,901,0.30133779264214045,0,128,2990,488,0.16321070234113713,488,0.16321070234113713,0.0,0.3601119104716227,64,0,0,0.0,24.84715719063545,128.0,0.00033444816053511704
E4B,plan_and_solve,plan_and_solve,majority_vote,1,2990,193,0.0645484949832776,0,256,2990,2757,0.9220735785953177,2757,0.9220735785953177,0.001088139281828074,0.8154506437768241,64,0,0,0.0,251.13110367892978,256.0,0.08361204013377926
E4B,plan_and_solve_plus,plan_and_solve_plus,majority_vote,1,2990,64,0.02140468227424749,0,256,2990,2914,0.974581939799331,2914,0.974581939799331,0.0006863417982155113,0.8157894736842105,64,0,0,0.0,254.76387959866221,256.0,0.028762541806020066
E4B,premise_conclusion,premise_conclusion,majority_vote,1,2990,733,0.2451505016722408,0,256,2990,2002,0.6695652173913044,2002,0.6695652173913044,0.002997002997002997,0.7358299595141701,64,0,0,0.0,226.0036789297659,256.0,0.3414715719063545
E4B,private_verify,private_verify,majority_vote,1,2990,993,0.3321070234113712,0,128,2990,71,0.02374581939799331,71,0.02374581939799331,0.0,0.34018499486125386,64,0,0,0.0,8.111371237458194,21.0,0.02709030100334448
E4B,rank_two_paths,rank_two_paths,majority_vote,1,2990,932,0.3117056856187291,0,128,2990,168,0.05618729096989967,168,0.05618729096989967,0.0,0.33026222537207656,64,0,0,0.0,11.979933110367893,128.0,0.0013377926421404682
E4B,raw,raw,majority_vote,1,2990,69,0.023076923076923078,0,256,2990,2241,0.7494983277591973,2241,0.7494983277591973,0.000892458723784025,0.08945260347129506,64,0,0,0.0,220.58795986622073,256.0,0.002006688963210702
E4B,selective_verify,selective_verify,majority_vote,1,2990,920,0.3076923076923077,0,128,2990,202,0.06755852842809365,202,0.06755852842809365,0.0,0.3299856527977044,64,0,0,0.0,13.542140468227425,128.0,0.001003344481605351
E4B,step_back,step_back,majority_vote,1,2990,254,0.08494983277591973,0,256,2990,2669,0.8926421404682274,2669,0.8926421404682274,0.0007493443237167478,0.7850467289719626,64,0,0,0.0,248.73979933110368,256.0,0.1177257525083612
E4B,strict_json,strict_json,majority_vote,1,2990,366,0.12240802675585284,0,96,2990,2116,0.7076923076923077,2116,0.7076923076923077,0.0,0.41876430205949655,64,0,0,0.0,72.8066889632107,96.0,0.0
E4B,symbolic_proof,symbolic_proof,majority_vote,1,2990,66,0.022073578595317726,0,256,2990,2924,0.9779264214046822,2924,0.9779264214046822,0.003419972640218878,0.8484848484848485,64,0,0,0.0,254.85752508361205,256.0,0.026421404682274247
